city,luas_bangunan_m2,luas_tanah_m2,jumlah_kamar_tidur,jumlah_kamar_mandi,carport,tahun_dibangun,sertifikat,kondisi,latitude,longitude,harga,title,lokasi,url,source,scraped_at
Jakarta Timur,98.0,84.0,3.0,3.0,2.0,,,,,,1100000000.0,Siaphuni Full Furnish di Tapos Depok Dekat MRT Cibubur Tolcibubur,Cibubur,https://www.rumah123.com/properti/jakarta-timur-cibubur/siaphuni-full-furnish-di-tapos-depok-dekat-mrt-cibubur-tolcibubur-hos41244158/,rumah123_playwright,2026-04-19T10:49:04.223034
Jakarta Selatan,215.0,152.0,5.0,5.0,4.0,,,,,,3300000000.0,Rumah Modern 3 Lantai di Lenteng Agung Selangkah Stasiun,Lenteng Agung,https://www.rumah123.com/properti/jakarta-selatan-lenteng-agung/rumah-modern-3-lantai-di-lenteng-agung-selangkah-stasiun-hos41391379/,rumah123_playwright,2026-04-19T10:49:12.793865
Jakarta Selatan,300.0,102.0,6.0,5.0,4.0,,,Siap Huni,,,3850000000.0,Rumah4 Lantai Private Pool di Jagakarsa Jakarta Selatan Cluster,Jagakarsa,https://www.rumah123.com/properti/jakarta-selatan-jagakarsa/rumah4-lantai-private-pool-di-jagakarsa-jakarta-selatan-cluster-hos41388870/,rumah123_playwright,2026-04-19T10:49:20.900395
Jakarta Selatan,430.0,250.0,6.0,6.0,3.0,,,Siap Huni,,,8100000000.0,Rumah Siap Huni 3 Lantai Pondok Indah Dekat Mall Tol Rumah Sakit,Pondok Indah,https://www.rumah123.com/properti/jakarta-selatan-pondok-indah/rumah-siap-huni-3-lantai-pondok-indah-dekat-mall-tol-rumah-sakit-hos41388315/,rumah123_playwright,2026-04-19T10:49:29.624538
Jakarta Timur,600.0,1260.0,6.0,7.0,7.0,,,,,,16500000000.0,Dijual Rumah Hook Kokoh Dalam Komplek Besar di Rawa Mangun Jaktim,Rawamangun,https://www.rumah123.com/properti/jakarta-timur-rawamangun/dijual-rumah-hook-kokoh-dalam-komplek-besar-di-rawa-mangun-jaktim-hos18726767/,rumah123_playwright,2026-04-19T10:49:38.393271
Jakarta Selatan,325.0,696.0,3.0,3.0,6.0,,,,,,11800000000.0,Dijual Rumah Exclusive di Kawasan Elit Kemang Jaksel,Kemang,https://www.rumah123.com/properti/jakarta-selatan-kemang/dijual-rumah-exclusive-di-kawasan-elit-kemang-jaksel-hos39546468/,rumah123_playwright,2026-04-19T10:49:49.209239
Jakarta Selatan,95.0,35.0,3.0,3.0,1.0,,,Baru,,,1200000000.0,Milenials Gen Z!! Rumah Mewah di Matraman,Setiabudi,https://www.rumah123.com/properti/jakarta-selatan-setiabudi/townhouse-mewah-di-matraman-strategis-hos41356550/,rumah123_playwright,2026-04-19T10:49:58.905623
Jakarta Utara,325.0,150.0,6.0,6.0,2.0,,,,,,7700000000.0,"Turun Harga! Mayang Permai 9,4X16 Bangunan Kontraktor 3,5 Lantai",Pantai Indah Kapuk,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/owner-jual-cepat-rumah-pik-1-mayang-permai-94x16-bangunan-kontraktor-35-lantai-hos40430121/,rumah123_playwright,2026-04-19T10:50:09.330351
Jakarta Utara,235.0,200.0,4.0,4.0,2.0,,,,,,7200000000.0,Termurah Jual Rugi - Rumah 2 Lantai Villa Pasir Putih Uk 10X20 - Segera Terjual,Pantai Indah Kapuk 2,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk-2/termurah-jual-rugi-rumah-2-lantai-villa-pasir-putih-uk-10x20-segera-terjual-hos41149816/,rumah123_playwright,2026-04-19T10:50:17.616032
Jakarta Timur,180.0,105.0,5.0,5.0,2.0,,,Baru,,,5400000000.0,Hunian Mewah Nyaman Cocok untuk Keluarga Punya 5 Kamar Dilengkapi Fasilitas Lengkap,Rawamangun,https://www.rumah123.com/properti/jakarta-timur-rawamangun/hunian-mewah-nyaman-cocok-untuk-keluarga-punya-5-kamar-dilengkapi-fasilitas-lengkap-hos40852702/,rumah123_playwright,2026-04-19T10:50:26.987135
