city,luas_bangunan_m2,luas_tanah_m2,jumlah_kamar_tidur,jumlah_kamar_mandi,carport,tahun_dibangun,sertifikat,kondisi,latitude,longitude,harga,title,lokasi,url,source,scraped_at
Tangerang,60.0,90.0,2,2,2.0,,,Baru,,,800000000.0,Rumah Baru di Jl Raya Legok Dekat ke Gading Serpong bisa KPR,Gading Serpong,https://www.rumah123.com/properti/tangerang-gading-serpong/rumah-industrial-kelapa-dua-nempel-gading-serpong-hos39302752/,rumah123_playwright,2026-04-19T13:37:29.101053
Tangerang,230.0,240.0,5,4,4.0,,,,,,5200000000.0,Dijual Termurah Sutera Renata Aruna Alam Sutera,Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/dijual-termurah-sutera-renata-aruna-alam-sutera-hos40545187/,rumah123_playwright,2026-04-19T13:37:37.810116
Tangerang,400.0,480.0,6,5,4.0,,,,,,9000000000.0,Dijual Turun Harga Sutera Sitara Jingga Orlanda Mentari Pelangi Termurah Hanya Hitung Tanah Jingga Alam Sutera,Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/dijual-turun-harga-termurah-hanya-hitung-tanah-jingga-alam-sutera-hos41201460/,rumah123_playwright,2026-04-19T13:37:44.587305
Tangerang,277.0,144.0,6,2,4.0,,,Baru,,,5600000000.0,Jual Rugi Termewah Termurah! Sutera Winona Wallace Jalan Utama Alam Sutera Furnished,Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/jual-rugi-termewah-termurah-sutera-winona-wallace-jalan-utama-alam-sutera-furnished-hos41283458/,rumah123_playwright,2026-04-19T13:37:51.933860
Tangerang,194.0,105.0,5,4,2.0,,,Siap Huni,,,3200000000.0,Dijual Rumah Cluster Nara Village Gading Serpong,Gading Serpong,https://www.rumah123.com/properti/tangerang-gading-serpong/dijual-rumah-cluster-nara-village-gading-serpong-hos41319355/,rumah123_playwright,2026-04-19T13:37:59.210548
Tangerang,55.0,60.0,2,2,1.0,,,Siap Huni,,,780000000.0,Rumah Bagus Semi Furnished di Cluster Cendana Parc Lippo Karawaci,Lippo Karawaci,https://www.rumah123.com/properti/tangerang-lippo-karawaci/rumah-bagus-semi-furnished-di-cluster-cendana-parc-lippo-karawaci-hos39916530/,rumah123_playwright,2026-04-19T13:38:10.013378
Tangerang,101.0,84.0,4,2,1.0,,,Siap Huni,,,1850000000.0,Rumah Bagus Siap Huni di Symphonia Gading Serpong,Gading Serpong,https://www.rumah123.com/properti/tangerang-gading-serpong/rumah-brand-new-dekat-clubhouse-di-symphonia-gading-serpong-hos41346372/,rumah123_playwright,2026-04-19T13:38:33.108970
Tangerang,101.0,96.0,4,4,2.0,,,Siap Huni,,,2800000000.0,Rumah View Danau di Rossini Symphonia Gading Serpong,Gading Serpong,https://www.rumah123.com/properti/tangerang-gading-serpong/rumah-view-danau-di-rossini-symphonia-gading-serpong-hos41308166/,rumah123_playwright,2026-04-19T13:38:40.526030
Tangerang,676.0,330.0,4,4,3.0,,,,,,15500000000.0,Rumah Mewah di Sutera Victoria Alam Sutera,Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/rumah-mewah-di-sutera-victoria-alam-sutera-hos41349729/,rumah123_playwright,2026-04-19T13:38:48.196237
Tangerang,77.0,63.0,4,3,1.0,,,,,,1600000000.0,"Cluster di Gading Serpong di Bawah 2M, Kawasan Hidup dan Ramai",Gading Serpong,https://www.rumah123.com/properti/tangerang-gading-serpong/cluster-di-gading-serpong-di-bawah-2m-kawasan-hidup-dan-ramai-hos41320380/,rumah123_playwright,2026-04-19T13:38:55.857144
Tangerang,54.0,72.0,2,1,2.0,,SHM,Bagus,,,1250000000.0,Dijual Murah Rumah di Gading Serpong SHM Bagus,Gading Serpong,https://www.rumah123.com/properti/tangerang-gading-serpong/dijual-murah-rumah-di-gading-serpong-shm-bagus-hos41284622/,rumah123_playwright,2026-04-19T13:39:02.671720
Tangerang,600.0,414.0,6,6,5.0,,,,,,12500000000.0,Dijual Rumah Mewah di Gading Serpong 18X23 Cluster Emerald Cove,Gading Serpong,https://www.rumah123.com/properti/tangerang-gading-serpong/dijual-rumah-mewah-di-gading-serpong-18x23-cluster-emerald-cove-hos41293223/,rumah123_playwright,2026-04-19T13:39:10.775619
Tangerang,400.0,204.0,6,6,1.0,,,Siap Huni,,,7000000000.0,Dijual Rumah Ada Private Lift di Sutera Flamboyan Alsut,Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/dijual-rumah-ada-private-lift-di-sutera-flamboyan-alsut-hos39193864/,rumah123_playwright,2026-04-19T13:39:23.491487
Tangerang,231.0,126.0,6,4,2.0,,,,,,5500000000.0,"✨ Fresh Listing Dijual Sutera Winona, Alam Sutera ✨",Alam Sutera,https://www.rumah123.com/properti/tangerang-alam-sutera/fresh-listing-dijual-sutera-winona-alam-sutera-hos40561037/,rumah123_playwright,2026-04-19T13:39:33.514651
